id,score,text,episode,start_time,end_time,start_frame,end_frame
lwulFI8BYtCDorbFC22p,1.0,"我就先收下吧, 謝謝你",2,"00:04:02,575","00:04:04,785",5815,5868
mAulFI8BYtCDorbFC22p,1.0,我就這樣想,2,"00:04:12,126","00:04:13,126",6044,6068
mQulFI8BYtCDorbFC22p,1.0,那個真的害我笑出來了呢,2,"00:04:13,127","00:04:15,254",6068,6119
nQulFI8BYtCDorbFC22p,1.0,這樣啊,2,"00:04:28,893","00:04:29,851",6446,6469
ngulFI8BYtCDorbFC22p,1.0,我們一起去吧,2,"00:04:29,852","00:04:31,228",6469,6502
nwulFI8BYtCDorbFC22p,1.0,沒有去過會覺得不太好進去吧,2,"00:04:31,229","00:04:33,897",6502,6566
oAulFI8BYtCDorbFC22p,1.0,"是啊, 不過",2,"00:04:34,857","00:04:37,401",6589,6650
oQulFI8BYtCDorbFC22p,1.0,果然是昨天被人纏上的地方嗎,2,"00:04:39,362","00:04:42,406",6697,6770
ogulFI8BYtCDorbFC22p,1.0,我們會待在錄音室,2,"00:04:43,283","00:04:45,409",6791,6842
qQulFI8BYtCDorbFC22p,1.0,多虧你當時向我搭話,2,"00:05:11,769","00:05:13,478",7474,7515
rAulFI8BYtCDorbFC22p,1.0,是這樣啊,2,"00:05:19,193","00:05:20,402",7652,7681
rQulFI8BYtCDorbFC22p,1.0,不過我想那孩子應該沒有惡意吧,2,"00:05:20,403","00:05:22,863",7681,7740
rgulFI8BYtCDorbFC22p,1.0,"糟糕, 她們兩個竟然認識",2,"00:05:23,531","00:05:26,825",7756,7835
tQulFI8BYtCDorbFC22p,1.0,所以也不太清楚,2,"00:05:50,016","00:05:52,225",8391,8444
tgulFI8BYtCDorbFC22p,1.0,"這樣啊, 其實我也不是很了解",2,"00:05:52,226","00:05:55,562",8444,8524
uAulFI8BYtCDorbFC22p,1.0,也不用這樣,2,"00:05:57,815","00:05:59,358",8578,8615
ugulFI8BYtCDorbFC22p,1.0,那間大小姐學校,2,"00:06:05,865","00:06:07,783",8771,8817
uwulFI8BYtCDorbFC22p,1.0,好厲害喔,2,"00:06:09,243","00:06:10,243",8852,8876
vAulFI8BYtCDorbFC22p,1.0,聽說只有政治家,2,"00:06:10,244","00:06:11,286",8876,8901
vQulFI8BYtCDorbFC22p,1.0,或藝人的小孩能念那間學校,2,"00:06:11,287","00:06:14,289",8901,8973
vwulFI8BYtCDorbFC22p,1.0,但我從國中就念那裡了 應該算普通吧,2,"00:06:17,752","00:06:21,088",9056,9136
wAulFI8BYtCDorbFC22p,1.0,"還有, 月之森的學生真的都會講""貴安""嗎",2,"00:06:21,089","00:06:24,883",9136,9227
xAulFI8BYtCDorbFC22p,1.0,不過從幼稚園就念那種的女生都那樣講,2,"00:06:32,058","00:06:34,601",9399,9460
xwulFI8BYtCDorbFC22p,1.0,那大家都有人開車接送的傳聞是真的嗎,2,"00:06:40,274","00:06:43,402",9596,9671
yQulFI8BYtCDorbFC22p,1.0,你從剛才都在問學校的事呢,2,"00:06:48,950","00:06:51,493",9804,9865
0AulFI8BYtCDorbFC22p,1.0,"好, 請挑喜歡的座位坐吧",2,"00:07:09,887","00:07:12,472",10306,10368
0gulFI8BYtCDorbFC22p,1.0,有推薦的飲料嗎,2,"00:07:24,402","00:07:26,069",10654,10694
0wulFI8BYtCDorbFC22p,1.0,應該是紅茶吧,2,"00:07:26,446","00:07:27,654",10703,10732
1AulFI8BYtCDorbFC22p,1.0,"味道醇香, 我很喜歡",2,"00:07:27,655","00:07:29,656",10732,10780
1QulFI8BYtCDorbFC22p,1.0,有很多品項呢,2,"00:07:32,160","00:07:34,327",10840,10892
1gulFI8BYtCDorbFC22p,1.0,你從剛才就一直對我講敬語,2,"00:07:36,205","00:07:38,331",10937,10988
2AulFI8BYtCDorbFC22p,1.0,你是高一生嗎,2,"00:07:40,501","00:07:41,877",11040,11073
2gulFI8BYtCDorbFC22p,1.0,"你看起來好穩重, 我還以為你是學姊呢",2,"00:07:43,504","00:07:46,423",11112,11182
2wulFI8BYtCDorbFC22p,1.0,你又說敬語了,2,"00:07:46,424","00:07:48,133",11182,11223
3gulFI8BYtCDorbFC22p,1.0,"你叫愛音啊, 我叫爽世",2,"00:07:53,764","00:07:56,266",11358,11418
3wulFI8BYtCDorbFC22p,1.0,"好棒喔, 連名字都像大小姐一樣",2,"00:07:56,267","00:07:59,561",11418,11497
4AulFI8BYtCDorbFC22p,1.0,爽世同學,2,"00:07:59,562","00:08:00,395",11497,11517
5gulFI8BYtCDorbFC22p,1.0,我看看喔...,2,"00:08:13,159","00:08:15,410",11823,11877
5wulFI8BYtCDorbFC22p,1.0,我想好了,2,"00:08:16,787","00:08:18,038",11910,11940
6AulFI8BYtCDorbFC22p,1.0,不好意思,2,"00:08:18,039","00:08:19,581",11940,11977
6QulFI8BYtCDorbFC22p,1.0,好,2,"00:08:23,669","00:08:24,461",12075,12094
6wulFI8BYtCDorbFC22p,1.0,我們要點東西,2,"00:08:29,383","00:08:30,842",12212,12247
8QulFI8BYtCDorbFC22p,1.0,"好棒喔, 我也要一樣的",2,"00:08:43,564","00:08:45,565",12552,12600
9wulFI8BYtCDorbFC22p,1.0,但都沒有我想找的招募條件,2,"00:09:02,166","00:09:04,668",12998,13058
-gulFI8BYtCDorbFC22p,1.0,爽世同學好清楚喔,2,"00:09:09,632","00:09:11,758",13177,13228
-wulFI8BYtCDorbFC22p,1.0,因為我以前組過樂團,2,"00:09:14,845","00:09:16,930",13302,13352
_AulFI8BYtCDorbFC22p,1.0,月之森的學生會玩樂團有點讓人意外呢,2,"00:09:17,807","00:09:20,850",13373,13446
_QulFI8BYtCDorbFC22p,1.0,有這麼稀奇嗎,2,"00:09:20,851","00:09:22,686",13446,13490
_wulFI8BYtCDorbFC22p,1.0,真好,2,"00:09:25,439","00:09:26,690",13556,13586
AAulFI8BYtCDorbFC26p,1.0,-我們高中的學生都已經有各自的樂團了,2,"00:09:26,691","00:09:29,401",13586,13651
